Index,Title_x,ID,Rating,Release Year,Duration,Cleaned_Title,Title_y,BoxOfficeMojo_Link,Title,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
1,1. The Dark Knight,tt0468569,9.0,2008,2h 32m,The Dark Knight,1. The Dark Knight,https://www.boxofficemojo.com/title/tt0468569/,The Dark Knight (2008),"$1,009,057,329","$534,987,076","$474,020,470",Christopher Nolan,"Christian Bale (Bruce Wayne/Batman), Heath Ledger (Joker), Aaron Eckhart (Harvey Dent), Michael Caine (Alfred)"
2,2. Inception,tt1375666,8.8,2h 32m,2h 28m,Inception,2. Inception,https://www.boxofficemojo.com/title/tt1375666/,Inception (2010),"$839,030,630","$292,587,330","$546,443,300",Christopher Nolan,"Leonardo DiCaprio (Cobb), Joseph Gordon-Levitt (Arthur), Elliot Page (Ariadne), Ken Watanabe (Saito)"
3,3. Interstellar,tt0816692,8.7,PG-13,2h 49m,Interstellar,3. Interstellar,https://www.boxofficemojo.com/title/tt0816692/,Interstellar (2014),"$742,846,228","$203,227,580","$539,618,648",Christopher Nolan,"Matthew McConaughey (Cooper), Anne Hathaway (Brand), Jessica Chastain (Murph), Mackenzie Foy (Murph)"
4,4. The Lord of the Rings: The Fellowship of the Ring,tt0120737,8.9,2010,2h 58m,The Lord of the Rings: The Fellowship of the Ring,4. The Lord of the Rings: The Fellowship of the Ring,https://www.boxofficemojo.com/title/tt0120737/,The Lord of the Rings: The Fellowship of the Ring (2001),"$888,195,122","$319,372,078","$568,180,418",Peter Jackson,"Elijah Wood (Frodo), Ian McKellen (Gandalf), Orlando Bloom (Legolas), Sean Bean (Boromir)"
5,5. The Lord of the Rings: The Return of the King,tt0167260,9.0,2h 28m,3h 21m,The Lord of the Rings: The Return of the King,5. The Lord of the Rings: The Return of the King,https://www.boxofficemojo.com/title/tt0167260/,The Lord of the Rings: The Return of the King (2003),"$1,138,267,537","$381,878,219","$755,990,678",Peter Jackson,"Elijah Wood (Frodo), Viggo Mortensen (Aragorn), Ian McKellen (Gandalf), Orlando Bloom (Legolas)"
6,6. The Dark Knight Rises,tt1345836,8.4,PG-13,2h 44m,The Dark Knight Rises,6. The Dark Knight Rises,https://www.boxofficemojo.com/title/tt1345836/,The Dark Knight Rises (2012),"$1,114,976,407","$448,149,584","$666,807,044",Christopher Nolan,"Christian Bale (Bruce Wayne/Batman), Tom Hardy (Bane), Anne Hathaway (Selina), Gary Oldman (Commissioner Gordon)"
7,7. The Lord of the Rings: The Two Towers,tt0167261,8.8,2014,2h 59m,The Lord of the Rings: The Two Towers,7. The Lord of the Rings: The Two Towers,https://www.boxofficemojo.com/title/tt0167261/,The Lord of the Rings: The Two Towers (2002),"$938,242,927","$345,518,923","$592,102,354",Peter Jackson,"Elijah Wood (Frodo), Ian McKellen (Gandalf), Viggo Mortensen (Aragorn), Orlando Bloom (Legolas)"
8,8. Django Unchained,tt1853728,8.5,2h 49m,2h 45m,Django Unchained,8. Django Unchained,https://www.boxofficemojo.com/title/tt1853728/,Django Unchained (2012),"$426,076,293","$162,805,434","$263,268,939",Quentin Tarantino,"Jamie Foxx (Django), Christoph Waltz (Dr. King Schultz), Leonardo DiCaprio (Calvin Candie), Kerry Washington (Broomhilda von Shaft)"
9,9. The Wolf of Wall Street,tt0993846,8.2,PG-13,3h,The Wolf of Wall Street,9. The Wolf of Wall Street,https://www.boxofficemojo.com/title/tt0993846/,The Wolf of Wall Street (2013),"$407,039,432","$116,900,694","$289,977,539",Jordan Belfort,"Leonardo DiCaprio (Jordan Belfort), Jonah Hill (Donnie Azoff), Margot Robbie (Naomi Lapaglia), Matthew McConaughey (Mark Hanna)"
10,10. Inglourious Basterds,tt0361748,8.4,2001,2h 33m,Inglourious Basterds,10. Inglourious Basterds,https://www.boxofficemojo.com/title/tt0361748/,Inglourious Basterds (2009),"$321,461,041","$120,540,719","$200,918,879",Quentin Tarantino,"Brad Pitt (Lt. Aldo Raine), Diane Kruger (Bridget von Hammersmark), Eli Roth (Sgt. Donny Donowitz), Mélanie Laurent (Shosanna Dreyfus)"
