Title,Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
The Dark Knight,The Dark Knight (2008),tt0468569,9.0,2008,2h 32m,https://www.boxofficemojo.com/title/tt0468569/,"$1,009,057,329","$534,987,076","$474,020,470",Christopher Nolan,"Christian Bale (Bruce Wayne/Batman), Heath Ledger (Joker), Aaron Eckhart (Harvey Dent), Michael Caine (Alfred)"
Inception,Inception (2010),tt1375666,8.8,2010,2h 28m,https://www.boxofficemojo.com/title/tt1375666/,"$839,030,630","$292,587,330","$546,443,300",Christopher Nolan,"Leonardo DiCaprio (Cobb), Joseph Gordon-Levitt (Arthur), Elliot Page (Ariadne), Ken Watanabe (Saito)"
Interstellar,Interstellar (2014),tt0816692,8.7,2014,2h 49m,https://www.boxofficemojo.com/title/tt0816692/,"$742,846,228","$203,227,580","$539,618,648",Christopher Nolan,"Matthew McConaughey (Cooper), Anne Hathaway (Brand), Jessica Chastain (Murph), Mackenzie Foy (Murph)"
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring (2001),tt0120737,8.9,2001,2h 58m,https://www.boxofficemojo.com/title/tt0120737/,"$888,195,122","$319,372,078","$568,180,418",Peter Jackson,"Elijah Wood (Frodo), Ian McKellen (Gandalf), Orlando Bloom (Legolas), Sean Bean (Boromir)"
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King (2003),tt0167260,9.0,2003,3h 21m,https://www.boxofficemojo.com/title/tt0167260/,"$1,138,267,537","$381,878,219","$755,990,678",Peter Jackson,"Elijah Wood (Frodo), Viggo Mortensen (Aragorn), Ian McKellen (Gandalf), Orlando Bloom (Legolas)"
The Dark Knight Rises,The Dark Knight Rises (2012),tt1345836,8.4,2012,2h 44m,https://www.boxofficemojo.com/title/tt1345836/,"$1,114,976,407","$448,149,584","$666,807,044",Christopher Nolan,"Christian Bale (Bruce Wayne/Batman), Tom Hardy (Bane), Anne Hathaway (Selina), Gary Oldman (Commissioner Gordon)"
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers (2002),tt0167261,8.8,2002,2h 59m,https://www.boxofficemojo.com/title/tt0167261/,"$938,242,927","$345,518,923","$592,102,354",Peter Jackson,"Elijah Wood (Frodo), Ian McKellen (Gandalf), Viggo Mortensen (Aragorn), Orlando Bloom (Legolas)"
Django Unchained,Django Unchained (2012),tt1853728,8.5,2012,2h 45m,https://www.boxofficemojo.com/title/tt1853728/,"$426,076,293","$162,805,434","$263,268,939",Quentin Tarantino,"Jamie Foxx (Django), Christoph Waltz (Dr. King Schultz), Leonardo DiCaprio (Calvin Candie), Kerry Washington (Broomhilda von Shaft)"
The Wolf of Wall Street,The Wolf of Wall Street (2013),tt0993846,8.2,2013,3h,https://www.boxofficemojo.com/title/tt0993846/,"$407,039,432","$116,900,694","$289,977,539",Jordan Belfort,"Leonardo DiCaprio (Jordan Belfort), Jonah Hill (Donnie Azoff), Margot Robbie (Naomi Lapaglia), Matthew McConaughey (Mark Hanna)"
Inglourious Basterds,Inglourious Basterds (2009),tt0361748,8.4,2009,2h 33m,https://www.boxofficemojo.com/title/tt0361748/,"$321,461,041","$120,540,719","$200,918,879",Quentin Tarantino,"Brad Pitt (Lt. Aldo Raine), Diane Kruger (Bridget von Hammersmark), Eli Roth (Sgt. Donny Donowitz), Mélanie Laurent (Shosanna Dreyfus)"
Batman Begins,Batman Begins (2005),tt0372784,8.2,2005,2h 20m,https://www.boxofficemojo.com/title/tt0372784/,"$375,406,308","$206,863,479","$168,516,083",Christopher Nolan,"Christian Bale (Bruce Wayne/Batman), Michael Caine (Alfred), Ken Watanabe (Ra's Al Ghul), Liam Neeson (Ducard)"
Joker,Joker (2019),tt7286456,8.4,2019,2h 2m,https://www.boxofficemojo.com/title/tt7286456/,"$1,078,958,629","$335,477,657","$743,480,625",Todd Phillips,"Joaquin Phoenix (Arthur Fleck), Robert De Niro (Murray Franklin), Zazie Beetz (Sophie Dumond), Frances Conroy (Penny Fleck)"
Shutter Island,Shutter Island (2010),tt1130884,8.2,2010,2h 18m,https://www.boxofficemojo.com/title/tt1130884/,"$294,946,844","$128,012,934","$166,889,580",Martin Scorsese,"Leonardo DiCaprio (Teddy Daniels), Emily Mortimer (Rachel 1), Mark Ruffalo (Chuck Aule), Ben Kingsley (Dr. Cawley)"
The Avengers,The Avengers (2012),tt0848228,8.0,2012,2h 23m,https://www.boxofficemojo.com/title/tt0848228/,"$1,520,538,536","$623,357,910","$897,180,626",Joss Whedon,"Robert Downey Jr. (Tony Stark/Iron Man), Chris Evans (Steve Rogers/Captain America), Scarlett Johansson (Natasha Romanoff/Black Widow), Jeremy Renner (Clint Barton/Hawkeye)"
The Prestige,The Prestige (2006),tt0482571,8.5,2006,2h 10m,https://www.boxofficemojo.com/title/tt0482571/,"$109,676,311","$53,089,891","$56,586,420",Christopher Nolan,"Christian Bale (Alfred Borden), Hugh Jackman (Robert Angier), Scarlett Johansson (Olivia Wenscombe), Michael Caine (Cutter)"
The Departed,The Departed (2006),tt0407887,8.5,2006,2h 31m,https://www.boxofficemojo.com/title/tt0407887/,"$291,481,358","$132,399,394","$159,081,058",Martin Scorsese,"Leonardo DiCaprio (Billy), Matt Damon (Colin), Jack Nicholson (Costello), Mark Wahlberg (Dignam)"
Avatar,Avatar (2009),tt0499549,7.9,2009,2h 42m,https://www.boxofficemojo.com/title/tt0499549/,"$2,923,706,026","$785,221,649","$2,138,484,377",James Cameron,"Sam Worthington (Jake Sully), Zoe Saldana (Neytiri), Sigourney Weaver (Dr. Grace Augustine), Michelle Rodriguez (Trudy Chacón)"
Avengers: Endgame,Avengers: Endgame (2019),tt4154796,8.4,2019,3h 1m,https://www.boxofficemojo.com/title/tt4154796/,"$2,799,439,100","$858,373,000","$1,941,066,100",Anthony Russo,"Robert Downey Jr. (Tony Stark/Iron Man), Chris Evans (Steve Rogers/Captain America), Mark Ruffalo (Bruce Banner/Hulk), Chris Hemsworth (Thor)"
Guardians of the Galaxy,Guardians of the Galaxy (2014),tt2015381,8.0,2014,2h 1m,https://www.boxofficemojo.com/title/tt2015381/,"$773,350,376","$333,718,600","$439,631,547",James Gunn,"Chris Pratt (Peter Quill), Vin Diesel (Groot), Bradley Cooper (Rocket), Zoe Saldana (Gamora)"
Avengers: Infinity War,Avengers: Infinity War (2018),tt4154756,8.4,2018,2h 29m,https://www.boxofficemojo.com/title/tt4154756/,"$2,052,415,039","$678,815,482","$1,373,599,557",Anthony Russo,"Robert Downey Jr. (Tony Stark/Iron Man), Chris Hemsworth (Thor), Mark Ruffalo (Bruce Banner/Hulk), Chris Evans (Steve Rogers/Captain America)"
