Title,ID,Rating,Release Year,Duration
1. El caballero oscuro,tt0468569,"9,0",2008,2h 32m
2. Origen,tt1375666,"8,8",2h 32m,2h 28m
3. Interstellar,tt0816692,"8,7",13,2h 49m
4. El señor de los anillos: La comunidad del anillo,tt0120737,"8,9",2010,2h 58m
5. El señor de los anillos: El retorno del rey,tt0167260,"9,0",2h 28m,3h 21m
6. El caballero oscuro: La leyenda renace,tt1345836,"8,4",12,2h 44m
7. El señor de los anillos: Las dos torres,tt0167261,"8,8",2014,2h 59m
8. Django desencadenado,tt1853728,"8,5",2h 49m,2h 45m
9. El lobo de Wall Street,tt0993846,"8,2",12,3h
10. Malditos bastardos,tt0361748,"8,4",2001,2h 33m
11. Batman Begins,tt0372784,"8,2",2h 58m,2h 20m
12. Joker,tt7286456,"8,3",12,2h 2m
13. Shutter Island,tt1130884,"8,2",2003,2h 18m
14. Los Vengadores,tt0848228,"8,0",3h 21m,2h 23m
15. El truco final (El prestigio),tt0482571,"8,5",13,2h 10m
16. Infiltrados,tt0407887,"8,5",2012,2h 31m
17. Avatar,tt0499549,"7,9",2h 44m,2h 42m
18. Vengadores: Endgame,tt4154796,"8,4",12,3h 1m
19. Guardianes de la Galaxia,tt2015381,"8,0",2002,2h 1m
20. Vengadores: Infinity War,tt4154756,"8,4",2h 59m,2h 29m
21. Piratas del Caribe: La maldición de la Perla Negra,tt0325980,"8,1",13,2h 23m
22. WALL·E,tt0910970,"8,4",2012,1h 38m
23. Kill Bill: Volumen 1,tt0266697,"8,2",2h 45m,1h 51m
24. V de vendetta,tt0434409,"8,1",16,2h 12m
25. Deadpool,tt1431045,"8,0",2013,1h 48m
26. Up,tt1049413,"8,3",3h,1h 36m
27. Iron Man,tt0371746,"7,9",16,2h 6m
28. Mad Max: Furia en la carretera,tt1392190,"8,1",2009,2h
29. Buscando a Nemo,tt0266543,"8,2",2h 33m,1h 40m
30. Atrápame si puedes,tt0264464,"8,1",13,2h 21m
31. ¡Olvídate de mí!,tt0338013,"8,3",2005,1h 48m
32. Perdida,tt2267998,"8,1",2h 20m,2h 29m
33. No es país para viejos,tt0477348,"8,2",13,2h 2m
34. Whiplash,tt2582802,"8,5",2019,1h 46m
35. Los juegos del hambre,tt1392170,"7,2",2h 2m,2h 22m
36. Parásitos,tt6751668,"8,5",18,2h 12m
"37. Monstruos, S.A.",tt0198781,"8,1",2010,1h 32m
38. Una mente maravillosa,tt0268978,"8,2",2h 18m,2h 15m
39. Star Wars: El despertar de la Fuerza,tt2488496,"7,8",13,2h 18m
40. Harry Potter y las Reliquias de la Muerte: Parte 2,tt1201607,"8,1",2012,2h 10m
41. Intocable,tt1675434,"8,5",2h 23m,1h 52m
42. Marte (The Martian),tt3659388,"8,0",7,2h 24m
43. El pianista,tt0253474,"8,5",2006,2h 30m
44. Vengadores: La era de Ultrón,tt2395427,"7,3",2h 10m,2h 21m
45. Dune,tt1160419,"8,0",18,2h 35m
46. Spider-Man: No Way Home,tt10872600,"8,2",2006,2h 28m
47. Thor,tt0800369,"7,0",2h 31m,1h 55m
48. Capitán América: El Soldado de Invierno,tt1843866,"7,7",18,2h 16m
49. Iron Man 3,tt1300854,"7,1",2009,2h 10m
50. Capitán América: El primer vengador,tt0458339,"6,9",2h 42m,2h 4m
51. Toy Story 3,tt0435761,"8,3",7,1h 43m
52. El gran hotel Budapest,tt2278388,"8,1",2019,1h 39m
53. Spider-Man,tt0145487,"7,4",3h 1m,2h 1m
54. El renacido (The Revenant),tt1663202,"8,0",7,2h 36m
55. El hobbit: Un viaje inesperado,tt0903624,"7,8",2014,2h 49m
56. Harry Potter y la piedra filosofal,tt0241527,"7,7",2h 1m,2h 32m
57. El viaje de Chihiro,tt0245429,"8,6",12,2h 4m
58. Iron Man 2,tt1228705,"6,9",2018,2h 4m
59. Slumdog Millionaire,tt1010048,"8,0",2h 29m,2h
60. Érase una vez en... Hollywood,tt7131622,"7,6",12,2h 41m
61. 300,tt0416449,"7,6",2003,1h 57m
62. Capitán América: Civil War,tt3498820,"7,8",2h 23m,2h 27m
63. Logan,tt3315342,"8,1",7,2h 17m
64. Gravity,tt1454468,"7,7",2008,1h 31m
65. Resacón en Las Vegas,tt1119646,"7,7",1h 38m,1h 40m
66. Donnie Darko,tt0246578,"8,0",A,1h 53m
67. Star Wars: Episodio III - La venganza de los sith,tt0121766,"7,6",2003,2h 20m
68. Ratatouille,tt0382932,"8,1",1h 51m,1h 51m
69. Black Panther,tt1825683,"7,3",18,2h 14m
70. The Batman,tt1877830,"7,8",2005,2h 56m
71. Prisioneros,tt1392214,"8,2",2h 12m,2h 33m
72. Del revés (Inside Out),tt2096673,"8,1",13,1h 35m
73. Cisne negro,tt0947798,"8,0",2016,1h 48m
74. The Imitation Game (Descifrando Enigma),tt2084970,"8,0",1h 48m,1h 54m
75. Oppenheimer,tt15398776,"8,3",18,3h
