Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link
1. The Dark Knight,tt0468569,9.0,2008,2h 32m,https://www.boxofficemojo.com/title/tt0468569/
2. Inception,tt1375666,8.8,2h 32m,2h 28m,https://www.boxofficemojo.com/title/tt1375666/
3. Interstellar,tt0816692,8.7,PG-13,2h 49m,https://www.boxofficemojo.com/title/tt0816692/
4. The Lord of the Rings: The Fellowship of the Ring,tt0120737,8.9,2010,2h 58m,https://www.boxofficemojo.com/title/tt0120737/
5. The Lord of the Rings: The Return of the King,tt0167260,9.0,2h 28m,3h 21m,https://www.boxofficemojo.com/title/tt0167260/
6. The Dark Knight Rises,tt1345836,8.4,PG-13,2h 44m,https://www.boxofficemojo.com/title/tt1345836/
7. The Lord of the Rings: The Two Towers,tt0167261,8.8,2014,2h 59m,https://www.boxofficemojo.com/title/tt0167261/
8. Django Unchained,tt1853728,8.5,2h 49m,2h 45m,https://www.boxofficemojo.com/title/tt1853728/
9. The Wolf of Wall Street,tt0993846,8.2,PG-13,3h,https://www.boxofficemojo.com/title/tt0993846/
10. Inglourious Basterds,tt0361748,8.4,2001,2h 33m,https://www.boxofficemojo.com/title/tt0361748/
11. Batman Begins,tt0372784,8.2,2h 58m,2h 20m,https://www.boxofficemojo.com/title/tt0372784/
12. Joker,tt7286456,8.4,PG-13,2h 2m,https://www.boxofficemojo.com/title/tt7286456/
13. Shutter Island,tt1130884,8.2,2003,2h 18m,https://www.boxofficemojo.com/title/tt1130884/
14. The Avengers,tt0848228,8.0,3h 21m,2h 23m,https://www.boxofficemojo.com/title/tt0848228/
15. The Prestige,tt0482571,8.5,PG-13,2h 10m,https://www.boxofficemojo.com/title/tt0482571/
16. The Departed,tt0407887,8.5,2012,2h 31m,https://www.boxofficemojo.com/title/tt0407887/
17. Avatar,tt0499549,7.9,2h 44m,2h 42m,https://www.boxofficemojo.com/title/tt0499549/
18. Avengers: Endgame,tt4154796,8.4,PG-13,3h 1m,https://www.boxofficemojo.com/title/tt4154796/
19. Guardians of the Galaxy,tt2015381,8.0,2002,2h 1m,https://www.boxofficemojo.com/title/tt2015381/
20. Avengers: Infinity War,tt4154756,8.4,2h 59m,2h 29m,https://www.boxofficemojo.com/title/tt4154756/
21. Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,8.1,PG-13,2h 23m,https://www.boxofficemojo.com/title/tt0325980/
22. WALL·E,tt0910970,8.4,2012,1h 38m,https://www.boxofficemojo.com/title/tt0910970/
23. Kill Bill: Vol. 1,tt0266697,8.2,2h 45m,1h 51m,https://www.boxofficemojo.com/title/tt0266697/
24. V for Vendetta,tt0434409,8.1,R,2h 12m,https://www.boxofficemojo.com/title/tt0434409/
25. Deadpool,tt1431045,8.0,2013,1h 48m,https://www.boxofficemojo.com/title/tt1431045/
26. Up,tt1049413,8.3,3h,1h 36m,https://www.boxofficemojo.com/title/tt1049413/
27. Iron Man,tt0371746,7.9,R,2h 6m,https://www.boxofficemojo.com/title/tt0371746/
28. Mad Max: Fury Road,tt1392190,8.1,2009,2h,https://www.boxofficemojo.com/title/tt1392190/
29. Finding Nemo,tt0266543,8.2,2h 33m,1h 40m,https://www.boxofficemojo.com/title/tt0266543/
30. Catch Me If You Can,tt0264464,8.1,R,2h 21m,https://www.boxofficemojo.com/title/tt0264464/
31. Eternal Sunshine of the Spotless Mind,tt0338013,8.3,2005,1h 48m,https://www.boxofficemojo.com/title/tt0338013/
32. Gone Girl,tt2267998,8.1,2h 20m,2h 29m,https://www.boxofficemojo.com/title/tt2267998/
33. No Country for Old Men,tt0477348,8.2,PG-13,2h 2m,https://www.boxofficemojo.com/title/tt0477348/
34. Whiplash,tt2582802,8.5,2019,1h 46m,https://www.boxofficemojo.com/title/tt2582802/
35. The Hunger Games,tt1392170,7.2,2h 2m,2h 22m,https://www.boxofficemojo.com/title/tt1392170/
36. Parasite,tt6751668,8.5,R,2h 12m,https://www.boxofficemojo.com/title/tt6751668/
"37. Monsters, Inc.",tt0198781,8.1,2010,1h 32m,https://www.boxofficemojo.com/title/tt0198781/
38. A Beautiful Mind,tt0268978,8.2,2h 18m,2h 15m,https://www.boxofficemojo.com/title/tt0268978/
39. Star Wars: Episode VII - The Force Awakens,tt2488496,7.8,R,2h 18m,https://www.boxofficemojo.com/title/tt2488496/
40. Harry Potter and the Deathly Hallows: Part 2,tt1201607,8.1,2012,2h 10m,https://www.boxofficemojo.com/title/tt1201607/
41. The Intouchables,tt1675434,8.5,2h 23m,1h 52m,https://www.boxofficemojo.com/title/tt1675434/
42. The Martian,tt3659388,8.0,PG-13,2h 24m,https://www.boxofficemojo.com/title/tt3659388/
43. The Pianist,tt0253474,8.5,2006,2h 30m,https://www.boxofficemojo.com/title/tt0253474/
44. Avengers: Age of Ultron,tt2395427,7.3,2h 10m,2h 21m,https://www.boxofficemojo.com/title/tt2395427/
45. Spider-Man: No Way Home,tt10872600,8.2,PG-13,2h 28m,https://www.boxofficemojo.com/title/tt10872600/
46. Dune: Part One,tt1160419,8.0,2006,2h 35m,https://www.boxofficemojo.com/title/tt1160419/
47. Thor,tt0800369,7.0,2h 31m,1h 55m,https://www.boxofficemojo.com/title/tt0800369/
48. Captain America: The Winter Soldier,tt1843866,7.7,R,2h 16m,https://www.boxofficemojo.com/title/tt1843866/
49. Iron Man 3,tt1300854,7.1,2009,2h 10m,https://www.boxofficemojo.com/title/tt1300854/
50. Captain America: The First Avenger,tt0458339,6.9,2h 42m,2h 4m,https://www.boxofficemojo.com/title/tt0458339/
51. Toy Story 3,tt0435761,8.3,PG-13,1h 43m,https://www.boxofficemojo.com/title/tt0435761/
52. The Grand Budapest Hotel,tt2278388,8.1,2019,1h 39m,https://www.boxofficemojo.com/title/tt2278388/
53. Spider-Man,tt0145487,7.4,3h 1m,2h 1m,https://www.boxofficemojo.com/title/tt0145487/
54. The Revenant,tt1663202,8.0,PG-13,2h 36m,https://www.boxofficemojo.com/title/tt1663202/
55. The Hobbit: An Unexpected Journey,tt0903624,7.8,2014,2h 49m,https://www.boxofficemojo.com/title/tt0903624/
56. Iron Man 2,tt1228705,6.9,2h 1m,2h 4m,https://www.boxofficemojo.com/title/tt1228705/
57. Slumdog Millionaire,tt1010048,8.0,PG-13,2h,https://www.boxofficemojo.com/title/tt1010048/
58. Spirited Away,tt0245429,8.6,2018,2h 4m,https://www.boxofficemojo.com/title/tt0245429/
59. Harry Potter and the Sorcerer's Stone,tt0241527,7.7,2h 29m,2h 32m,https://www.boxofficemojo.com/title/tt0241527/
60. Once Upon a Time... in Hollywood,tt7131622,7.6,PG-13,2h 41m,https://www.boxofficemojo.com/title/tt7131622/
61. 300,tt0416449,7.6,2003,1h 57m,https://www.boxofficemojo.com/title/tt0416449/
62. Gravity,tt1454468,7.7,2h 23m,1h 31m,https://www.boxofficemojo.com/title/tt1454468/
63. Captain America: Civil War,tt3498820,7.8,PG-13,2h 27m,https://www.boxofficemojo.com/title/tt3498820/
64. Logan,tt3315342,8.1,2008,2h 17m,https://www.boxofficemojo.com/title/tt3315342/
65. The Hangover,tt1119646,7.7,1h 38m,1h 40m,https://www.boxofficemojo.com/title/tt1119646/
66. Donnie Darko,tt0246578,8.0,G,1h 53m,https://www.boxofficemojo.com/title/tt0246578/
67. Star Wars: Episode III - Revenge of the Sith,tt0121766,7.6,2003,2h 20m,https://www.boxofficemojo.com/title/tt0121766/
68. Ratatouille,tt0382932,8.1,1h 51m,1h 51m,https://www.boxofficemojo.com/title/tt0382932/
69. Black Panther,tt1825683,7.3,R,2h 14m,https://www.boxofficemojo.com/title/tt1825683/
70. The Batman,tt1877830,7.8,2005,2h 56m,https://www.boxofficemojo.com/title/tt1877830/
71. Prisoners,tt1392214,8.2,2h 12m,2h 33m,https://www.boxofficemojo.com/title/tt1392214/
72. Black Swan,tt0947798,8.0,R,1h 48m,https://www.boxofficemojo.com/title/tt0947798/
73. Inside Out,tt2096673,8.1,2016,1h 35m,https://www.boxofficemojo.com/title/tt2096673/
74. The Imitation Game,tt2084970,8.0,1h 48m,1h 54m,https://www.boxofficemojo.com/title/tt2084970/
75. Thor: Ragnarok,tt3501632,7.9,R,2h 10m,https://www.boxofficemojo.com/title/tt3501632/
76. I Am Legend,tt0480249,7.2,2009,1h 41m,https://www.boxofficemojo.com/title/tt0480249/
77. The Incredibles,tt0317705,8.0,1h 36m,1h 55m,https://www.boxofficemojo.com/title/tt0317705/
78. Gran Torino,tt1205489,8.1,PG,1h 56m,https://www.boxofficemojo.com/title/tt1205489/
79. Doctor Strange,tt1211837,7.5,2008,1h 55m,https://www.boxofficemojo.com/title/tt1211837/
80. Oppenheimer,tt15398776,8.3,2h 6m,3h,https://www.boxofficemojo.com/title/tt15398776/
81. How to Train Your Dragon,tt0892769,8.1,PG-13,1h 38m,https://www.boxofficemojo.com/title/tt0892769/
82. Kill Bill: Vol. 2,tt0378194,8.0,2015,2h 17m,https://www.boxofficemojo.com/title/tt0378194/
83. Man of Steel,tt0770828,7.1,2h,2h 23m,https://www.boxofficemojo.com/title/tt0770828/
84. City of God,tt0317248,8.6,R,2h 10m,https://www.boxofficemojo.com/title/tt0317248/
85. Amélie,tt0211915,8.3,2003,2h 2m,https://www.boxofficemojo.com/title/tt0211915/
86. Sin City,tt0401792,8.0,1h 40m,2h 4m,https://www.boxofficemojo.com/title/tt0401792/
87. Knives Out,tt8946378,7.9,G,2h 10m,https://www.boxofficemojo.com/title/tt8946378/
88. Arrival,tt2543164,7.9,2002,1h 56m,https://www.boxofficemojo.com/title/tt2543164/
89. Pirates of the Caribbean: Dead Man's Chest,tt0383574,7.4,2h 21m,2h 31m,https://www.boxofficemojo.com/title/tt0383574/
90. Guardians of the Galaxy Vol. 2,tt3896198,7.6,PG-13,2h 16m,https://www.boxofficemojo.com/title/tt3896198/
91. The Social Network,tt1285016,7.8,2004,2h,https://www.boxofficemojo.com/title/tt1285016/
